MMMZ 97.50 25.4
SCXC 99.8 28.9
XZAR 87.2 29.3
XZBG 81.4 30.8
XZCD 97.2 31.1
XZCY 97.5 28.7
XZDX 91.1 30.5
XZGZ 84.1 32.3
XZNQ 92.1 31.5
XZRK 88.9 29.2
XZYD 88.9 27.4
XZZB 84.2 29.7
XZZF 86.9 28.4
YNGM 99.4 23.5
YNRL 97.8 24.0
YNSD 99.2 24.7
YNTC 98.4 25.0
YNYL 99.4 25.9
YNZD 99.7 27.8
LHAS 91.1 29.7
LHAZ 91.1 29.7
BELT 83.8 27.5
BESI 84.4 28.2
BMCL 81.7 28.7
BRN2 87.3 26.5
BYNA 81.2 29.5
CHLM 85.3 28.2
DAMA 85.1 27.6
DLPA 82.8 29.0
DMAU 84.3 28.0
DNGD 80.6 28.8
DRCL 80.5 29.7
GNTW 80.6 29.2
GRHI 82.5 28.0
GUMB 85.9 27.9
JMLA 82.2 29.3
JMSM 83.7 28.8
KKN4 85.3 27.8
KLDN 83.6 27.8
NPGJ 81.6 28.1
ODRE 87.4 26.9
PYUT 83.0 28.1
RMJT 86.6 27.3
RMTE 86.6 27.0
SIM4 85.0 27.2
SIM9 85.0 27.2
SIMR 85.0 27.2
SMKT 81.8 30.0
SNDL 85.8 27.4
SRNK 83.9 28.3
SYBC 86.7 27.8
TIMP 89.6 27.5
TPLJ 87.7 27.4
